r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,r_27,r_28,r_29,r_30,r_31,r_32,r_33,r_34,r_35,r_36,r_37
0.5722602,0.5831952,0.5810613,0.5854576,0.5855423,0.5816596,0.5854483,0.5804034,0.5842694,0.5813022,0.5812266,0.5806379,0.5848841,0.5774047,0.5787993,0.5903604,0.5807512,0.5872771,0.5795677,0.5830298,0.5863442,0.581169,0.5772459,0.590927,0.5765482,0.5835065,0.5828103,0.5820032,0.5818968,0.5796556,0.5817494,0.5785628,0.585069,0.5729326,0.5777773,0.5777397,0.5791976,0.5858283
0.5722602,0.5841239,0.5810613,0.5854908,0.5860415,0.5818081,0.5858235,0.5807654,0.5847752,0.5813022,0.581927,0.5817481,0.5848841,0.5775642,0.5787993,0.5903604,0.5807512,0.5872771,0.5800207,0.5831999,0.5863442,0.581169,0.5773106,0.590927,0.577394,0.5837012,0.5829752,0.5820161,0.5818968,0.5797137,0.5817494,0.5785628,0.5853578,0.5774216,0.578636,0.5777397,0.5796914,0.5870947
0.5736878,0.5845244,0.5812874,0.5854908,0.5860415,0.5820887,0.5858235,0.5807654,0.5847752,0.5814189,0.581927,0.5817481,0.5850927,0.5796304,0.579977,0.5907912,0.581568,0.587641,0.5800207,0.5831999,0.5870662,0.5837933,0.5773106,0.5914287,0.577394,0.5837012,0.5831254,0.5820161,0.5823686,0.5804359,0.5818571,0.5795479,0.5853578,0.5774216,0.578636,0.580391,0.5796914,0.5870947
0.5736878,0.5852048,0.5836321,0.5862325,0.5868373,0.5825505,0.5859588,0.5817569,0.5858661,0.5821556,0.584114,0.584357,0.5867168,0.5796304,0.579977,0.5907912,0.581568,0.587641,0.5801256,0.5834362,0.5870662,0.5843085,0.5773613,0.5925472,0.5776424,0.5872726,0.5831254,0.5820195,0.5823686,0.5804359,0.5818571,0.5795479,0.5858929,0.5774353,0.5795351,0.5810066,0.5802009,0.5876043
0.5741359,0.5852048,0.5836321,0.5885439,0.5873626,0.5825505,0.5859588,0.5817569,0.5858661,0.5821556,0.584114,0.584357,0.5867168,0.5811642,0.5834401,0.5909091,0.5822291,0.5877313,0.5801256,0.5834362,0.5872246,0.5843085,0.5773613,0.5925625,0.5776424,0.5872726,0.583144,0.5820195,0.5848548,0.5805664,0.5833848,0.5796372,0.5858929,0.5774353,0.580385,0.5810066,0.5806423,0.5876043
0.5741359,0.5860546,0.5838981,0.5885439,0.5873626,0.583083,0.586092,0.5818312,0.587015,0.5824886,0.5863195,0.5846552,0.5872182,0.5815422,0.5834401,0.5909091,0.5822291,0.5877313,0.5807179,0.5844089,0.5872246,0.584453,0.578003,0.5929889,0.5780322,0.5872822,0.5834113,0.5832396,0.5866479,0.5805664,0.5833848,0.5800112,0.5861044,0.5777814,0.5809049,0.5835751,0.5806423,0.587607
0.5745023,0.5860546,0.5838981,0.588776,0.5889831,0.583083,0.586092,0.5818312,0.587015,0.5824886,0.5865736,0.5846552,0.5872182,0.5815422,0.5845519,0.5911822,0.5825228,0.5879313,0.5807179,0.5844089,0.5875879,0.584453,0.578003,0.5929889,0.578968,0.5872822,0.5834113,0.5849101,0.5866479,0.5811589,0.5837385,0.5800112,0.5861044,0.5777814,0.5809049,0.5835751,0.5809851,0.587607
0.5745023,0.5867851,0.5839721,0.588776,0.5889871,0.5831364,0.5868054,0.5819891,0.588316,0.5841743,0.5865736,0.5850036,0.5880469,0.5820786,0.5845519,0.5916363,0.5825228,0.5879313,0.583937,0.5845252,0.5875879,0.5849294,0.5780692,0.5936711,0.5797272,0.5874688,0.5835815,0.5849101,0.5868392,0.5811589,0.5839619,0.5809166,0.5861337,0.5821926,0.5826607,0.5838938,0.5809851,0.5877027
0.5750411,0.5867851,0.5839721,0.5894991,0.5889871,0.5831364,0.5868054,0.5819891,0.588316,0.5843464,0.5868402,0.5850036,0.5904504,0.5820786,0.5859387,0.5916363,0.5830788,0.5883949,0.583937,0.5845252,0.5879389,0.5849294,0.5780692,0.5941423,0.5799996,0.5874688,0.5835815,0.5849842,0.5868392,0.5812248,0.5839619,0.5809166,0.5861337,0.5823858,0.5826607,0.5839118,0.5821705,0.5877027
0.5750411,0.5874375,0.5840568,0.589563,0.5896905,0.5832203,0.5869553,0.5859732,0.5890717,0.5844655,0.5868402,0.5850467,0.5904504,0.5822029,0.5859387,0.5919415,0.5838385,0.5888955,0.5840351,0.5845498,0.5879473,0.5854163,0.5781747,0.5941423,0.5799996,0.5874728,0.5837755,0.5849842,0.5887147,0.5813507,0.5846342,0.5815104,0.5862946,0.5823858,0.5837373,0.5873734,0.5823645,0.5891946
0.5759658,0.5874375,0.5840568,0.589563,0.5896905,0.5832203,0.5869553,0.5860747,0.5893033,0.5846679,0.586854,0.5853233,0.5908196,0.5836355,0.5866697,0.5919415,0.5838385,0.5894933,0.5848232,0.584832,0.5883487,0.5854163,0.5781747,0.5943219,0.5805298,0.5874728,0.5837755,0.585001,0.5887147,0.5819588,0.5846342,0.5815104,0.5862946,0.5835822,0.5837793,0.5873734,0.5829032,0.5893739
0.5759658,0.5884841,0.5846462,0.5896713,0.5911968,0.583668,0.58768,0.5865068,0.5895212,0.5846679,0.586854,0.5853233,0.5908196,0.5836355,0.5866697,0.5920524,0.5840232,0.5894963,0.5848232,0.584832,0.5883487,0.5858105,0.578571,0.5943219,0.5805298,0.587638,0.5846509,0.5852093,0.5888002,0.5819588,0.5856092,0.5819499,0.5864933,0.5835822,0.5837793,0.5874196,0.5829032,0.5893739
0.5765166,0.5894686,0.5846462,0.5896713,0.5911968,0.583668,0.58768,0.5865068,0.5895212,0.5847705,0.5873847,0.5864697,0.5920792,0.5842395,0.587031,0.5920524,0.5842441,0.5894963,0.5848997,0.5874084,0.5885471,0.5858105,0.578571,0.5953778,0.5810856,0.587638,0.5846509,0.58726,0.5888002,0.58212,0.5856092,0.5829611,0.5864933,0.5849058,0.5842188,0.5874196,0.583044,0.5903408
0.5765166,0.5894686,0.584774,0.5903123,0.591329,0.5848901,0.5886631,0.5865837,0.5903797,0.5847705,0.5873847,0.5864697,0.5921655,0.5842395,0.587031,0.5925632,0.5842441,0.5899652,0.5854301,0.5874084,0.5885471,0.5858907,0.578823,0.5953778,0.5815339,0.5881822,0.5862359,0.5883169,0.5893867,0.5825353,0.5863621,0.5833389,0.5868995,0.5849477,0.5842188,0.5875519,0.583044,0.5911324
0.5777866,0.5899122,0.584774,0.5903123,0.5922438,0.5893605,0.5886631,0.5865837,0.5909809,0.5863528,0.5876465,0.5864779,0.5921655,0.5843438,0.5871368,0.5925632,0.5845957,0.5899652,0.5855794,0.5882658,0.5889954,0.5858907,0.578823,0.5953933,0.5815339,0.5881822,0.5867346,0.5883169,0.5898196,0.5825353,0.5863621,0.5833389,0.5868995,0.5864706,0.5844816,0.5880213,0.583597,0.5917785
